,RPL23AP7,S100A8,OAZ1,TBC1D15,RAB27B,POLE2,DAPP1,CD180,GAPDH,VGLL1,VCAN,RGS18,FRMD4B,CD24,KLF9,RAB11A,BPI,P2RY12
0,0.006466763441384249,0.18070818113986029,0.11028288156248589,0.009453634186312546,0.046229010070311195,0.000927317511471041,0.04706294868826056,0.0027826222735828866,0.11777371289248845,8.667517399511255e-05,0.007529866734202709,0.2535172188119539,0.017165278553044214,0.0003507609388180425,0.001434148233454097,0.030369521802789727,0.00473206279812083,0.026522282218831895
1,0.0015910775075936804,0.35042934671143894,0.06633819937856299,0.005076152474474397,0.023088128666488957,0.0015706248314394532,0.023175605959201265,0.002952633153705592,0.09378465712638505,4.749398069954155e-267,0.003705349778340331,0.12755848365488498,0.006577133090201169,0.000717229359025444,0.00022720844046961178,0.00931693222403869,0.006476000080881209,0.003549041286307282
2,0.0009224156782747372,0.2257954029137271,0.023049914747116765,0.03311867133377472,0.02307881934927934,0.0015124167917430452,0.06725964612234511,0.001036512045133785,0.064804609485421,4.71832906568473e-267,0.004495664264363225,0.5713472176706026,0.014432521511800996,0.0001820508068187136,0.00040831495185510364,0.009958591689549986,0.005663176834866927,0.0017154102257220154
3,0.0003852158866899767,0.21553982819549827,0.03478395552255466,0.011694078092909493,0.021925228788330888,0.0010960536235982742,0.029309710390124585,0.0008259118202588739,0.05285180888393539,9.157520567121219e-05,0.003564357725478947,0.21952386842353258,0.011648544445562374,0.00017152094469350526,0.0004976531614140976,0.012318431840347059,0.001567889393934094,0.00842308298257755
4,0.0003721940067715169,0.27060102928537083,0.02880069487482458,0.005257786690928474,0.0072570711617124355,0.0009241673040585805,0.002984190149175571,0.00034253422913809497,0.05645804991280758,1.4426437532661474e-267,0.003387802349709538,0.2925681129470844,0.009405979282548667,3.720162730611146e-05,4.513457231699477e-05,0.02078551786354009,0.0012649410067224049,0.005364438647693524
5,0.006181407146393741,0.13619262487998376,0.02231642984459734,0.010826237343874992,0.03774158546300229,0.00019852689165063674,0.04553832516760422,0.0018411395517409345,0.03980866775465603,1.97038822149075e-267,0.001765353764174484,0.3079050023021837,0.009917044937174218,0.0008102072414776585,0.0010301037486477236,0.01698479622881831,0.0016599579059986217,0.009966922429167179
6,0.009225774498662052,0.5601706107560743,0.02981784367452014,0.0010477073630481193,0.00011688608728164688,0.0013097928353181325,6.738584046401318e-05,6.150881575055246e-267,0.11075084400547283,6.150881575055246e-267,0.0006460220677008901,0.2971038690248264,0.006247227994281163,0.00022963658225212338,6.150881575055246e-267,0.016795414988566987,0.0005480931698941221,0.0038669685415998255
7,0.007324788245570324,0.3815033176517607,0.08392146964702059,0.010964759376800031,0.005809666057214975,0.003977943572985781,0.008229530668636647,0.0017760584966890296,0.15785532838931926,0.003043046241133842,3.180270100713979e-266,0.4221756987663009,0.01169972770553431,0.00034877435176710133,3.180270100713979e-266,0.014286037329876183,0.005730745754946892,0.00633230308979542
8,0.0055823870905989765,0.0406709847962417,0.03960394981610281,0.00015502823886721456,0.026057287470150448,0.0004983125103417591,0.028108562166497573,0.00031794226338034513,0.046557554246260825,1.8677877855164873e-267,0.000180317761831079,0.13069374654869703,0.004834899339885837,7.73117071979004e-05,0.000419160485012381,0.02333796731805343,0.000997653210338014,0.015115351677568478
9,0.0008486609308149048,0.10190145735588828,0.027192013807459208,0.00021105172833614194,0.024690972767473573,0.0002691402112239939,0.012260157581416131,0.00029916989548228225,0.03931459568340698,2.4643622612658696e-267,5.0112464283407554e-05,0.10138687692230633,0.007311747955853901,0.00026523505060976313,0.0005496964774008985,0.016693480199283645,0.001484665065393943,0.011443434860067504
